,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model,param_model__hidden_layer_sizes,param_model__n_iter_no_change,param_scaler,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
30,5.566490745544433,2.891318489880682,0.002608633041381836,0.0004963657830632423,"MLPRegressor(early_stopping=True, hidden_layer_sizes=(20, 10), max_iter=10000,
             n_iter_no_change=30)","(30, 15)",10,StandardScaler(),"{'model': MLPRegressor(early_stopping=True, hidden_layer_sizes=(20, 10), max_iter=10000,
             n_iter_no_change=30), 'model__hidden_layer_sizes': (30, 15), 'model__n_iter_no_change': 10, 'scaler': StandardScaler()}",-8878377.888359606,-7915669.751482967,-8942275.638015965,-7947732.445958118,-8675885.214838305,-8471988.187730992,449940.2532841511,5
31,4.7194723129272464,0.6830747598606011,0.002221965789794922,0.000441241789309562,"MLPRegressor(early_stopping=True, hidden_layer_sizes=(20, 10), max_iter=10000,
             n_iter_no_change=30)","(30, 15)",10,MinMaxScaler(),"{'model': MLPRegressor(early_stopping=True, hidden_layer_sizes=(20, 10), max_iter=10000,
             n_iter_no_change=30), 'model__hidden_layer_sizes': (30, 15), 'model__n_iter_no_change': 10, 'scaler': MinMaxScaler()}",-8911210.615715316,-8841766.437665813,-8962625.004045429,-8806827.872843845,-8817480.925297124,-8867982.171113506,59671.52244435088,24
32,6.113304185867309,2.554713083575119,0.003232526779174805,0.0007790051804183535,"MLPRegressor(early_stopping=True, hidden_layer_sizes=(20, 10), max_iter=10000,
             n_iter_no_change=30)","(30, 15)",20,StandardScaler(),"{'model': MLPRegressor(early_stopping=True, hidden_layer_sizes=(20, 10), max_iter=10000,
             n_iter_no_change=30), 'model__hidden_layer_sizes': (30, 15), 'model__n_iter_no_change': 20, 'scaler': StandardScaler()}",-8031575.249259083,-8484404.675984556,-8945187.574912587,-8735807.859362263,-8687830.469271814,-8576961.16575806,309556.93002873386,10
33,8.330228424072265,2.0264424637933005,0.0034026145935058595,0.0007987804744608258,"MLPRegressor(early_stopping=True, hidden_layer_sizes=(20, 10), max_iter=10000,
             n_iter_no_change=30)","(30, 15)",20,MinMaxScaler(),"{'model': MLPRegressor(early_stopping=True, hidden_layer_sizes=(20, 10), max_iter=10000,
             n_iter_no_change=30), 'model__hidden_layer_sizes': (30, 15), 'model__n_iter_no_change': 20, 'scaler': MinMaxScaler()}",-8904595.535752134,-8852869.533546252,-8948248.885143165,-8799002.832247565,-8815460.373360438,-8864035.432009911,55588.632556227916,22
34,9.500246047973633,4.913261741999476,0.0033997535705566407,0.0014960128732619078,"MLPRegressor(early_stopping=True, hidden_layer_sizes=(20, 10), max_iter=10000,
             n_iter_no_change=30)","(30, 15)",30,StandardScaler(),"{'model': MLPRegressor(early_stopping=True, hidden_layer_sizes=(20, 10), max_iter=10000,
             n_iter_no_change=30), 'model__hidden_layer_sizes': (30, 15), 'model__n_iter_no_change': 30, 'scaler': StandardScaler()}",-8009661.6231685355,-8811560.188253993,-8952239.15062908,-7926836.785369279,-8683782.476178633,-8476816.044719903,424647.22165682795,7
35,7.4931305885314945,1.289709329999536,0.0030012607574462892,0.0010941479227458092,"MLPRegressor(early_stopping=True, hidden_layer_sizes=(20, 10), max_iter=10000,
             n_iter_no_change=30)","(30, 15)",30,MinMaxScaler(),"{'model': MLPRegressor(early_stopping=True, hidden_layer_sizes=(20, 10), max_iter=10000,
             n_iter_no_change=30), 'model__hidden_layer_sizes': (30, 15), 'model__n_iter_no_change': 30, 'scaler': MinMaxScaler()}",-8916722.151333388,-8860146.627725841,-8955063.541119322,-8788102.8711492,-8792942.069489244,-8862595.452163398,66161.5932750026,21
36,5.042598152160645,1.4834048638490944,0.0026008129119873048,0.0004900960890609991,"MLPRegressor(early_stopping=True, hidden_layer_sizes=(20, 10), max_iter=10000,
             n_iter_no_change=30)","(10, 5, 3)",10,StandardScaler(),"{'model': MLPRegressor(early_stopping=True, hidden_layer_sizes=(20, 10), max_iter=10000,
             n_iter_no_change=30), 'model__hidden_layer_sizes': (10, 5, 3), 'model__n_iter_no_change': 10, 'scaler': StandardScaler()}",-8875216.749044225,-7976645.222163339,-8943465.82899186,-8794995.96793151,-8707964.457229054,-8659657.645071998,350476.47343237145,12
37,2.8118098735809327,2.10456680326011,0.0020003318786621094,5.001110306597479e-07,"MLPRegressor(early_stopping=True, hidden_layer_sizes=(20, 10), max_iter=10000,
             n_iter_no_change=30)","(10, 5, 3)",10,MinMaxScaler(),"{'model': MLPRegressor(early_stopping=True, hidden_layer_sizes=(20, 10), max_iter=10000,
             n_iter_no_change=30), 'model__hidden_layer_sizes': (10, 5, 3), 'model__n_iter_no_change': 10, 'scaler': MinMaxScaler()}",-95207029.01221104,-8893767.4296574,-94735207.07696962,-8794505.984157695,-8748627.434633326,-43275827.38752581,42209317.856278844,54
38,4.345908689498901,0.6406465825313682,0.0022005081176757813,0.0004001141020686509,"MLPRegressor(early_stopping=True, hidden_layer_sizes=(20, 10), max_iter=10000,
             n_iter_no_change=30)","(10, 5, 3)",20,StandardScaler(),"{'model': MLPRegressor(early_stopping=True, hidden_layer_sizes=(20, 10), max_iter=10000,
             n_iter_no_change=30), 'model__hidden_layer_sizes': (10, 5, 3), 'model__n_iter_no_change': 20, 'scaler': StandardScaler()}",-8878180.641181283,-8786564.526756266,-8956930.85679956,-8731563.246662231,-8674210.369743774,-8805489.92822862,101267.90423453925,14
39,6.4402079582214355,3.3906446931148335,0.002817535400390625,0.0011551493643172704,"MLPRegressor(early_stopping=True, hidden_layer_sizes=(20, 10), max_iter=10000,
             n_iter_no_change=30)","(10, 5, 3)",20,MinMaxScaler(),"{'model': MLPRegressor(early_stopping=True, hidden_layer_sizes=(20, 10), max_iter=10000,
             n_iter_no_change=30), 'model__hidden_layer_sizes': (10, 5, 3), 'model__n_iter_no_change': 20, 'scaler': MinMaxScaler()}",-95199405.96218105,-8871464.48099234,-8952495.543317895,-8841016.736230643,-8777014.33278064,-26128279.411100514,34535609.41013851,49
