,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model,param_model__max_depth,param_model__min_samples_leaf,param_scaler,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
33,0.006457662582397461,0.0007690698908926192,0.0016027927398681641,0.0004870175469106585,"DecisionTreeRegressor(max_depth=20, min_samples_leaf=50)",20,500,MinMaxScaler(),"{'model': DecisionTreeRegressor(max_depth=20, min_samples_leaf=50), 'model__max_depth': 20, 'model__min_samples_leaf': 500, 'scaler': MinMaxScaler()}",-7531729.446930898,-7557092.149116922,-7860091.996731886,-7716678.485831345,-7518377.177763962,-7636793.851275003,132406.20495670201,37
34,0.006002902984619141,8.600270729557495e-06,0.002028369903564453,4.601555166447127e-05,"DecisionTreeRegressor(max_depth=20, min_samples_leaf=50)",20,200,StandardScaler(),"{'model': DecisionTreeRegressor(max_depth=20, min_samples_leaf=50), 'model__max_depth': 20, 'model__min_samples_leaf': 200, 'scaler': StandardScaler()}",-7471455.378013756,-7485556.949965157,-7764921.7579599405,-7591033.205595041,-7446091.681711814,-7551811.794649142,117454.48135935639,23
35,0.006096601486206055,0.0002385257003462732,0.0017977714538574218,0.000402265394243732,"DecisionTreeRegressor(max_depth=20, min_samples_leaf=50)",20,200,MinMaxScaler(),"{'model': DecisionTreeRegressor(max_depth=20, min_samples_leaf=50), 'model__max_depth': 20, 'model__min_samples_leaf': 200, 'scaler': MinMaxScaler()}",-7471455.378013756,-7485556.949965157,-7764921.7579599405,-7591033.205595041,-7446091.681711814,-7551811.794649142,117454.48135935639,23
36,0.006834602355957032,0.00040602656301151835,0.0018081188201904297,0.0004002844849069973,"DecisionTreeRegressor(max_depth=20, min_samples_leaf=50)",20,100,StandardScaler(),"{'model': DecisionTreeRegressor(max_depth=20, min_samples_leaf=50), 'model__max_depth': 20, 'model__min_samples_leaf': 100, 'scaler': StandardScaler()}",-7294231.091319131,-7444136.275154215,-7601392.986360928,-7354125.1891737,-7445877.470192039,-7427952.602440002,103919.88106914828,11
37,0.007019186019897461,0.0006221077799672005,0.0016138076782226563,0.00046899969248089446,"DecisionTreeRegressor(max_depth=20, min_samples_leaf=50)",20,100,MinMaxScaler(),"{'model': DecisionTreeRegressor(max_depth=20, min_samples_leaf=50), 'model__max_depth': 20, 'model__min_samples_leaf': 100, 'scaler': MinMaxScaler()}",-7294231.091319131,-7444136.275154215,-7607927.59050553,-7354125.1891737,-7445877.470192039,-7429259.523268923,106110.88327915572,15
38,0.006717824935913086,0.00038744504166531203,0.0020296573638916016,6.050122190080475e-05,"DecisionTreeRegressor(max_depth=20, min_samples_leaf=50)",20,50,StandardScaler(),"{'model': DecisionTreeRegressor(max_depth=20, min_samples_leaf=50), 'model__max_depth': 20, 'model__min_samples_leaf': 50, 'scaler': StandardScaler()}",-7139036.03534168,-7212447.665539753,-7417493.144760873,-7102605.910559223,-7204768.895523906,-7215270.330345087,109102.93622125863,1
39,0.007206583023071289,0.00041597817018096357,0.0017975807189941407,0.00040221881634795774,"DecisionTreeRegressor(max_depth=20, min_samples_leaf=50)",20,50,MinMaxScaler(),"{'model': DecisionTreeRegressor(max_depth=20, min_samples_leaf=50), 'model__max_depth': 20, 'model__min_samples_leaf': 50, 'scaler': MinMaxScaler()}",-7139036.03534168,-7212447.665539753,-7431626.011129015,-7102605.910559223,-7204768.895523906,-7218096.903618714,114361.72420471782,4
40,0.005800485610961914,0.0004035734887977244,0.0017998218536376953,0.0004070125119190669,"DecisionTreeRegressor(max_depth=20, min_samples_leaf=50)",25,1000,StandardScaler(),"{'model': DecisionTreeRegressor(max_depth=20, min_samples_leaf=50), 'model__max_depth': 25, 'model__min_samples_leaf': 1000, 'scaler': StandardScaler()}",-7672791.294726636,-7673133.169681201,-7991382.412147846,-7897321.681707243,-7719531.438810032,-7790831.999414591,129946.84521652071,49
41,0.005791521072387696,0.00039883879921568137,0.0016510486602783203,0.0004717184221182321,"DecisionTreeRegressor(max_depth=20, min_samples_leaf=50)",25,1000,MinMaxScaler(),"{'model': DecisionTreeRegressor(max_depth=20, min_samples_leaf=50), 'model__max_depth': 25, 'model__min_samples_leaf': 1000, 'scaler': MinMaxScaler()}",-7672791.294726636,-7673133.169681201,-7991382.412147846,-7897321.681707243,-7719531.438810032,-7790831.999414591,129946.84521652071,49
42,0.006512308120727539,0.00043333041058745943,0.0018040657043457032,0.00039578573947287297,"DecisionTreeRegressor(max_depth=20, min_samples_leaf=50)",25,500,StandardScaler(),"{'model': DecisionTreeRegressor(max_depth=20, min_samples_leaf=50), 'model__max_depth': 25, 'model__min_samples_leaf': 500, 'scaler': StandardScaler()}",-7531729.446930898,-7557092.149116922,-7860091.996731886,-7716678.485831345,-7518377.177763962,-7636793.851275003,132406.20495670201,37
